TransactionType,TransactionID,TransactionDate,CustomerID,ProductOrService,Category,Revenue,Cost,Margin,Channel,PaymentMethod,EmployeeID,Status,Notes
Repair,RT900060,2024-01-30,10525,Huawei P30 - Battery Drain,Repairs,125.15,40.95,84.2,Walk-in,PayPal,E05,Completed,Battery Drain
Sale,SO700067,2024-01-31,10624,P024,Sales,59.9,8.0,51.9,In-Store,Bizum,E09,Completed,Phone sales order
Sale,SO700068,2024-01-31,10589,P009,Sales,599.0,420.0,179.0,In-Store,Card,E02,Completed,Phone sales order
Sale,SO700069,2024-01-31,10567,P022,Sales,24.9,1.5,23.4,Phone,Bank Transfer,E02,Completed,Phone sales order
Repair,RT900061,2024-01-31,10289,Google Pixel 8a - Speaker Issue,Repairs,83.55,25.95,57.6,Phone,Bank Transfer,E06,Completed,Speaker Issue
Repair,RT900062,2024-01-31,10567,Huawei P30 - Speaker Issue,Repairs,103.55,32.95,70.6,WhatsApp,PayPal,E06,Completed,Speaker Issue
Repair,RT900063,2024-01-31,10470,Google Pixel 8 - Screen Crack,Repairs,257.45,89.95,167.5,Walk-in,Cash,E11,Completed,Screen Crack
Sale,SO700070,2024-02-01,10419,P010,Sales,466.65,385.0,81.65,Website,Cash,E01,Completed,Phone sales order
Sale,SO700071,2024-02-01,10040,P018; P023,Sales,52.12,11.2,40.92,Website,PayPal,E12,Completed,Phone sales order
Sale,SO700072,2024-02-02,10092,P005,Sales,759.05,610.0,149.05,WhatsApp,Cash,E08,Completed,Phone sales order
Sale,SO700073,2024-02-02,10716,P016; P021; P020,Sales,66.61,26.8,39.81,In-Store,Cash,E03,Completed,Phone sales order
Sale,SO700074,2024-02-02,10536,P004,Sales,958.0,720.0,238.0,WhatsApp,Bizum,E02,Completed,Phone sales order
Repair,RT900064,2024-02-02,10294,Huawei P50 - Charging Problem,Repairs,78.55,24.2,54.35,Walk-in,Cash,E05,Completed,Charging Problem
Repair,RT900065,2024-02-02,10047,OnePlus Nord 3 - Back Glass Damage,Repairs,83.95,26.2,57.75,WhatsApp,PayPal,E06,Completed,Back Glass Damage
Repair,RT900066,2024-02-02,10305,Xiaomi Poco X5 - Screen Crack,Repairs,267.45,93.45,174.0,Website,Cash,E06,Completed,Screen Crack
Repair,RT900067,2024-02-02,10360,Xiaomi Redmi Note 13 - Camera Failure,Repairs,121.75,40.2,81.55,Walk-in,Cash,E04,Completed,Camera Failure
Repair,RT900068,2024-02-02,10765,Huawei P30 - Charging Problem,Repairs,83.55,25.95,57.6,Walk-in,Card,E11,Completed,Charging Problem
Sale,SO700075,2024-02-03,10295,P013; P006,Sales,258.0,198.4,59.6,In-Store,Card,E12,Completed,Phone sales order
Sale,SO700076,2024-02-03,10284,P007; P009,Sales,2181.2,1635.0,546.2,Website,Cash,E09,Completed,Phone sales order
Sale,SO700077,2024-02-03,10468,P009,Sales,1078.2,840.0,238.2,Website,PayPal,E01,Completed,Phone sales order
Sale,SO700078,2024-02-04,10498,P018,Sales,30.43,10.0,20.43,In-Store,Card,E02,Completed,Phone sales order
Sale,SO700079,2024-02-04,10457,P011,Sales,19.9,6.2,13.7,In-Store,Bank Transfer,E08,Completed,Phone sales order
Repair,RT900069,2024-02-04,10116,Samsung Galaxy S21 - Charging Problem,Repairs,78.55,24.2,54.35,Walk-in,Cash,E06,Completed,Charging Problem
Repair,RT900070,2024-02-04,10443,Xiaomi Redmi Note 12 - Camera Failure,Repairs,146.75,48.95,97.8,WhatsApp,Card,E05,Completed,Camera Failure
Sale,SO700080,2024-02-05,10676,P017; P005,Sales,806.92,612.0,194.92,Website,Bank Transfer,E03,Completed,Phone sales order
Repair,RT900071,2024-02-05,10504,Huawei P30 - Screen Crack,Repairs,267.45,93.45,174.0,Phone,Cash,E11,Completed,Screen Crack
Repair,RT900072,2024-02-05,10257,Oppo A78 - Screen Crack,Repairs,242.45,84.7,157.75,Walk-in,Bizum,E06,Completed,Screen Crack
Sale,SO700081,2024-02-06,10273,P018,Sales,32.22,10.0,22.22,In-Store,Card,E08,Completed,Phone sales order
Sale,SO700082,2024-02-06,10631,P017; P022,Sales,41.47,5.5,35.97,In-Store,Cash,E01,Completed,Phone sales order
Repair,RT900073,2024-02-06,10141,Huawei P50 - No Power,Repairs,158.2,53.7,104.5,WhatsApp,PayPal,E05,Completed,No Power
Repair,RT900074,2024-02-06,10223,Huawei P50 - Charging Problem,Repairs,78.55,24.2,54.35,Walk-in,Card,E06,Completed,Charging Problem
Repair,RT900075,2024-02-06,10776,OnePlus Nord 3 - Charging Problem,Repairs,113.55,36.45,77.1,WhatsApp,Card,E04,Completed,Charging Problem
Sale,SO700083,2024-02-07,10137,P012; P005; P021,Sales,782.26,646.1,136.16,In-Store,Cash,E03,Completed,Phone sales order
Repair,RT900076,2024-02-07,10004,Xiaomi Xiaomi 13T - Camera Failure,Repairs,121.75,40.2,81.55,Walk-in,Bank Transfer,E04,Waiting Parts,Camera Failure
Sale,SO700084,2024-02-08,10095,P014; P010,Sales,561.25,388.7,172.55,In-Store,Card,E09,Completed,Phone sales order
Repair,RT900077,2024-02-08,10138,Oppo Reno 10 - Back Glass Damage,Repairs,88.95,27.95,61.0,Walk-in,Card,E06,Completed,Back Glass Damage
Sale,SO700085,2024-02-09,10484,P010,Sales,549.0,385.0,164.0,In-Store,Bizum,E01,Completed,Phone sales order
Sale,SO700086,2024-02-10,10006,P003; P001,Sales,1853.05,1450.0,403.05,WhatsApp,Card,E03,Completed,Phone sales order
Sale,SO700087,2024-02-10,10727,P023,Sales,18.91,1.2,17.71,In-Store,PayPal,E12,Completed,Phone sales order
Sale,SO700088,2024-02-10,10422,P023,Sales,19.9,1.2,18.7,Phone,Cash,E02,Completed,Phone sales order
Sale,SO700089,2024-02-10,10583,P012; P006,Sales,531.41,383.1,148.31,WhatsApp,Cash,E03,Completed,Phone sales order
Repair,RT900078,2024-02-10,10639,Google Pixel 7 - Speaker Issue,Repairs,88.55,27.7,60.85,Walk-in,Bank Transfer,E04,Completed,Speaker Issue
Sale,SO700090,2024-02-11,10051,P024,Sales,59.9,8.0,51.9,WhatsApp,Bank Transfer,E01,Completed,Phone sales order
Sale,SO700091,2024-02-11,10672,P018,Sales,16.11,5.0,11.11,WhatsApp,Card,E01,Completed,Phone sales order
Repair,RT900079,2024-02-11,10442,OnePlus Nord 4 - Charging Problem,Repairs,78.55,24.2,54.35,Walk-in,Bizum,E11,Completed,Charging Problem
Repair,RT900080,2024-02-11,10045,Samsung Galaxy S23 - Camera Failure,Repairs,126.75,41.95,84.8,Walk-in,Bizum,E05,Completed,Camera Failure
Repair,RT900081,2024-02-11,10604,Google Pixel 8 - Screen Crack,Repairs,237.45,82.95,154.5,WhatsApp,Card,E05,Completed,Screen Crack
Repair,RT900082,2024-02-11,10325,Oppo A78 - Battery Drain,Repairs,125.15,40.95,84.2,Walk-in,Card,E06,Completed,Battery Drain
Repair,RT900083,2024-02-11,10136,Apple iPhone 11 - Battery Drain,Repairs,126.35,41.7,84.65,Walk-in,Card,E05,Completed,Battery Drain
Sale,SO700092,2024-02-12,10522,P010; P007,Sales,970.65,760.0,210.65,In-Store,Card,E01,Completed,Phone sales order
Sale,SO700093,2024-02-12,10714,P022; P023,Sales,42.81,2.7,40.11,In-Store,Card,E12,Completed,Phone sales order
Repair,RT900084,2024-02-12,10094,Google Pixel 8a - Charging Problem,Repairs,113.55,36.45,77.1,WhatsApp,Cash,E05,Completed,Charging Problem
Repair,RT900085,2024-02-12,10389,Samsung Galaxy A55 - Battery Drain,Repairs,100.15,32.2,67.95,Walk-in,Card,E05,Completed,Battery Drain
Sale,SO700094,2024-02-13,10262,P005; P008,Sales,1807.95,1610.0,197.95,Website,Card,E09,Completed,Phone sales order
Sale,SO700095,2024-02-13,10307,P017,Sales,26.73,6.0,20.73,In-Store,Cash,E08,Completed,Phone sales order
Sale,SO700096,2024-02-13,10110,P019; P006,Sales,842.85,619.5,223.35,In-Store,Card,E08,Completed,Phone sales order
Sale,SO700097,2024-02-13,10189,P024; P013,Sales,121.88,33.2,88.68,WhatsApp,Bank Transfer,E03,Completed,Phone sales order
Sale,SO700098,2024-02-13,10226,P014,Sales,25.8,7.4,18.4,In-Store,Cash,E03,Completed,Phone sales order
Repair,RT900086,2024-02-13,10573,Huawei P40 - Battery Drain,Repairs,135.15,44.45,90.7,Walk-in,Cash,E11,Completed,Battery Drain
Sale,SO700099,2024-02-14,10481,P009,Sales,569.05,420.0,149.05,Website,Bizum,E01,Completed,Phone sales order
Sale,SO700100,2024-02-14,10390,P020,Sales,11.9,2.8,9.1,In-Store,Card,E03,Completed,Phone sales order
Sale,SO700101,2024-02-16,10398,P020,Sales,11.9,2.8,9.1,Phone,Bank Transfer,E01,Completed,Phone sales order
Sale,SO700102,2024-02-16,10668,P012,Sales,14.15,3.1,11.05,In-Store,Bizum,E08,Completed,Phone sales order
Sale,SO700103,2024-02-16,10161,P024; P024,Sales,107.82,16.0,91.82,Website,Card,E12,Completed,Phone sales order
Sale,SO700104,2024-02-16,10548,P010,Sales,549.0,385.0,164.0,Marketplace,Cash,E02,Completed,Phone sales order
Sale,SO700105,2024-02-16,10079,P009,Sales,599.0,420.0,179.0,Phone,Cash,E01,Completed,Phone sales order
Sale,SO700106,2024-02-16,10569,P005,Sales,799.0,610.0,189.0,Website,Cash,E09,Completed,Phone sales order
Sale,SO700107,2024-02-16,10367,P017,Sales,8.91,2.0,6.91,Website,Cash,E09,Completed,Phone sales order
Repair,RT900087,2024-02-16,10398,OnePlus Nord 2 - Battery Drain,Repairs,110.15,35.7,74.45,Walk-in,Card,E11,Completed,Battery Drain
Repair,RT900088,2024-02-16,10357,Xiaomi Redmi Note 11 - Back Glass Damage,Repairs,118.95,38.45,80.5,Walk-in,Card,E06,Completed,Back Glass Damage
Sale,SO700108,2024-02-17,10284,P011; P006; P003,Sales,2679.31,2266.2,413.11,In-Store,PayPal,E03,Completed,Phone sales order
Sale,SO700109,2024-02-17,10498,P012,Sales,13.41,3.1,10.31,In-Store,Bizum,E02,Completed,Phone sales order
